trial_num,cnd,probe_size,probe_loc,probe1_color,probe2_color,click1_loc,click2_loc,frame_size,frame_dur,frame_len,frame_startloc,frame_nstops,frame_ncycles,frame_dir,fixation_loc,fixation_dur,gap1_dur,gap2_dur
1,single1,0.5,[0. 1.],Tomato,,[-1.4   1.64],[nan nan],7.5,26,6,[-3  1],13,1,left,[0. 6.],60,30,30
2,single2,0.5,[-1. -1.],,DodgerBlue,[ 1.13 -0.27],[nan nan],7.5,26,6,[-4 -1],13,3,left,[-1.  4.],54,42,18
3,double,0.5,[ 0. -1.],DodgerBlue,Tomato,[ 1.01 -0.37],[-2.33 -0.25],7.5,26,6,[-3 -1],13,1,right,[0. 4.],54,30,18
4,double,0.5,[-1. -1.],Tomato,DodgerBlue,[-3.53 -0.29],[ 0.83 -0.25],7.5,26,6,[-4 -1],13,2,right,[-1.  4.],60,18,30
5,single2,0.5,[-1.  0.],,DodgerBlue,[-3.36  0.42],[nan nan],7.5,26,6,[-4  0],13,2,right,[-1.  5.],48,18,36
6,single2,0.5,[ 1. -1.],,Tomato,[ 3.12 -0.39],[nan nan],7.5,26,6,[-2 -1],13,3,left,[1. 4.],60,42,24
7,single2,0.5,[-1. -1.],,Tomato,[ 0.29 -0.1 ],[nan nan],7.5,26,6,[-4 -1],13,3,left,[-1.  4.],60,36,42
8,single2,0.5,[-1.  0.],,Tomato,[0.2  0.29],[nan nan],7.5,26,6,[-4  0],13,1,left,[-1.  5.],60,36,30
9,double,0.5,[1. 0.],DodgerBlue,Tomato,[-1.35  0.98],[2.16 0.93],7.5,26,6,[-2  0],13,1,left,[1. 5.],54,24,36
10,double,0.5,[ 0. -1.],Tomato,DodgerBlue,[-2.68  0.74],[1.45 0.81],7.5,26,6,[-3 -1],13,3,right,[0. 4.],54,24,18
11,single1,0.5,[ 1. -1.],Tomato,,[-0.83  0.61],[nan nan],7.5,26,6,[-2 -1],13,2,left,[1. 4.],72,18,42
12,double,0.5,[1. 0.],Tomato,DodgerBlue,[-0.93  1.23],[2.65 1.4 ],7.5,26,6,[-2  0],13,1,right,[1. 5.],66,24,18
13,single2,0.5,[0. 0.],,Tomato,[-2.58  1.23],[nan nan],7.5,26,6,[-3  0],13,3,right,[0. 5.],66,30,24
14,double,0.5,[-1. -1.],Tomato,DodgerBlue,[-3.56  0.02],[0.37 0.12],7.5,26,6,[-4 -1],13,3,right,[-1.  4.],66,18,30
15,double,0.5,[ 1. -1.],DodgerBlue,Tomato,[-1.52  0.12],[2.23 0.37],7.5,26,6,[-2 -1],13,2,left,[1. 4.],48,24,30
16,double,0.5,[1. 0.],Tomato,DodgerBlue,[-1.69  1.1 ],[2.63 1.15],7.5,26,6,[-2  0],13,3,right,[1. 5.],66,30,24
17,single1,0.5,[0. 1.],DodgerBlue,,[-2.09  2.53],[nan nan],7.5,26,6,[-3  1],13,2,left,[0. 6.],60,24,18
18,single2,0.5,[ 0. -1.],,DodgerBlue,[-2.06  0.69],[nan nan],7.5,26,6,[-3 -1],13,3,right,[0. 4.],66,42,42
19,double,0.5,[-1.  0.],Tomato,DodgerBlue,[-3.31  1.37],[0.29 1.35],7.5,26,6,[-4  0],13,2,right,[-1.  5.],54,30,18
20,single1,0.5,[-1.  1.],Tomato,,[-0.15  2.21],[nan nan],7.5,26,6,[-4  1],13,2,right,[-1.  6.],72,24,42
21,single2,0.5,[1. 1.],,Tomato,[-0.71  2.14],[nan nan],7.5,26,6,[-2  1],13,2,right,[1. 6.],66,24,42
22,single1,0.5,[1. 0.],Tomato,,[2.01 1.62],[nan nan],7.5,26,6,[-2  0],13,3,right,[1. 5.],72,42,24
23,single1,0.5,[0. 1.],DodgerBlue,,[0.79 1.64],[nan nan],7.5,26,6,[-3  1],13,3,right,[0. 6.],48,36,36
24,single2,0.5,[0. 1.],,Tomato,[-1.55  2.09],[nan nan],7.5,26,6,[-3  1],13,2,right,[0. 6.],54,30,18
25,single1,0.5,[0. 0.],Tomato,,[0.74 1.1 ],[nan nan],7.5,26,6,[-3  0],13,2,right,[0. 5.],72,18,42
26,double,0.5,[-1. -1.],DodgerBlue,Tomato,[-2.8   0.25],[0.27 0.29],7.5,26,6,[-4 -1],13,2,left,[-1.  4.],72,36,24
27,double,0.5,[0. 1.],Tomato,DodgerBlue,[-2.09  2.43],[1.74 2.41],7.5,26,6,[-3  1],13,3,left,[0. 6.],48,42,24
28,double,0.5,[1. 0.],DodgerBlue,Tomato,[-0.86  1.55],[3.09 1.67],7.5,26,6,[-2  0],13,3,left,[1. 5.],48,42,42
29,single1,0.5,[-1.  0.],DodgerBlue,,[-0.07  1.6 ],[nan nan],7.5,26,6,[-4  0],13,3,right,[-1.  5.],48,24,36
30,single1,0.5,[0. 1.],Tomato,,[1.06 2.31],[nan nan],7.5,26,6,[-3  1],13,2,right,[0. 6.],54,24,36
31,single1,0.5,[-1. -1.],Tomato,,[-0.25 -0.2 ],[nan nan],7.5,26,6,[-4 -1],13,1,right,[-1.  4.],48,24,18
32,double,0.5,[-1. -1.],DodgerBlue,Tomato,[-3.24  0.32],[0.15 0.56],7.5,26,6,[-4 -1],13,2,right,[-1.  4.],66,30,30
33,double,0.5,[0. 0.],DodgerBlue,Tomato,[-2.41  1.13],[0.86 1.45],7.5,26,6,[-3  0],13,3,left,[0. 5.],60,36,24
34,double,0.5,[0. 1.],Tomato,DodgerBlue,[-1.94  2.58],[1.74 2.68],7.5,26,6,[-3  1],13,1,left,[0. 6.],66,24,42
35,double,0.5,[0. 1.],Tomato,DodgerBlue,[-2.41  2.75],[1.23 2.97],7.5,26,6,[-3  1],13,3,right,[0. 6.],72,18,18
36,double,0.5,[0. 1.],DodgerBlue,Tomato,[-1.84  2.68],[1.87 2.11],7.5,26,6,[-3  1],13,3,left,[0. 6.],60,30,24
37,single2,0.5,[-1.  0.],,Tomato,[0.12 1.67],[nan nan],7.5,26,6,[-4  0],13,3,left,[-1.  5.],60,18,18
38,double,0.5,[1. 1.],Tomato,DodgerBlue,[-1.01  1.77],[2.5  1.94],7.5,26,6,[-2  1],13,2,right,[1. 6.],66,36,24
39,single1,0.5,[ 1. -1.],DodgerBlue,,[-0.2  0. ],[nan nan],7.5,26,6,[-2 -1],13,3,left,[1. 4.],60,30,24
40,single2,0.5,[-1.  0.],,DodgerBlue,[0.52 0.69],[nan nan],7.5,26,6,[-4  0],13,2,left,[-1.  5.],48,18,36
41,single2,0.5,[ 1. -1.],,DodgerBlue,[ 2.41 -0.47],[nan nan],7.5,26,6,[-2 -1],13,1,left,[1. 4.],48,36,24
42,double,0.5,[0. 1.],DodgerBlue,Tomato,[1.08 2.09],[-2.11  2.31],7.5,26,6,[-3  1],13,1,right,[0. 6.],60,30,36
43,double,0.5,[-1. -1.],DodgerBlue,Tomato,[-3.66 -0.56],[ 0.37 -0.15],7.5,26,6,[-4 -1],13,2,right,[-1.  4.],60,42,24
