trial_num,cnd,probe_size,probe_loc,probe1_color,probe2_color,click1_loc,click2_loc,frame_size,frame_dur,frame_len,frame_startloc,frame_nstops,frame_dir,fixation_loc,fixation_dur,gap1_dur,gap2_dur
1,double,0.5,[-1.  1.],DodgerBlue,Tomato,[-3.58  1.5 ],[-0.39  1.72],7.5,26,6,[-4  1],13,left,[-1.  6.],48,30,36
2,single2,0.5,[-1.  1.],,DodgerBlue,[-1.55  2.38],[nan nan],7.5,26,6,[-4  1],13,right,[-1.  6.],54,30,42
3,single1,0.5,[0. 0.],DodgerBlue,,[-1.25  1.18],[nan nan],7.5,26,6,[-3  0],13,left,[0. 5.],60,18,30
4,single1,0.5,[ 0. -1.],DodgerBlue,,[1.01 0.  ],[nan nan],7.5,26,6,[-3 -1],13,right,[0. 4.],66,24,18
5,single1,0.5,[0. 0.],DodgerBlue,,[-1.47  0.66],[nan nan],7.5,26,6,[-3  0],13,left,[0. 5.],54,30,42
6,single2,0.5,[ 0. -1.],,DodgerBlue,[ 0.05 -0.02],[nan nan],7.5,26,6,[-3 -1],13,right,[0. 4.],66,24,24
7,single1,0.5,[0. 1.],Tomato,,[-1.74  2.55],[nan nan],7.5,26,6,[-3  1],13,left,[0. 6.],60,24,24
8,single2,0.5,[1. 0.],,DodgerBlue,[0.91 0.91],[nan nan],7.5,26,6,[-2  0],13,right,[1. 5.],54,36,18
9,double,0.5,[ 1. -1.],Tomato,DodgerBlue,[-1.3   0.81],[1.06 0.86],7.5,26,6,[-2 -1],13,left,[1. 4.],54,30,24
10,double,0.5,[1. 1.],DodgerBlue,Tomato,[-0.15  2.38],[2.41 2.55],7.5,26,6,[-2  1],13,right,[1. 6.],54,42,24
11,double,0.5,[-1. -1.],Tomato,DodgerBlue,[-0.81 -0.34],[-2.95 -0.02],7.5,26,6,[-4 -1],13,left,[-1.  4.],60,24,18
12,double,0.5,[1. 0.],Tomato,DodgerBlue,[1.08 0.83],[-1.08  1.01],7.5,26,6,[-2  0],13,left,[1. 5.],72,24,24
13,single2,0.5,[1. 1.],,DodgerBlue,[1.1  1.47],[nan nan],7.5,26,6,[-2  1],13,right,[1. 6.],48,42,42
14,single1,0.5,[ 1. -1.],DodgerBlue,,[-1.45  0.37],[nan nan],7.5,26,6,[-2 -1],13,left,[1. 4.],54,30,18
15,double,0.5,[-1.  1.],Tomato,DodgerBlue,[-1.23  1.94],[1.1  2.01],7.5,26,6,[-4  1],13,right,[-1.  6.],60,30,42
16,double,0.5,[ 0. -1.],Tomato,DodgerBlue,[-0.02  0.83],[-2.11  0.93],7.5,26,6,[-3 -1],13,left,[0. 4.],66,24,36
17,single2,0.5,[0. 0.],,Tomato,[0.39 1.15],[nan nan],7.5,26,6,[-3  0],13,left,[0. 5.],72,30,18
18,single2,0.5,[1. 1.],,DodgerBlue,[0.98 1.99],[nan nan],7.5,26,6,[-2  1],13,right,[1. 6.],48,24,36
19,single1,0.5,[ 1. -1.],Tomato,,[-0.66  0.12],[nan nan],7.5,26,6,[-2 -1],13,left,[1. 4.],60,36,30
20,single1,0.5,[-1.  0.],Tomato,,[0.66 1.18],[nan nan],7.5,26,6,[-4  0],13,right,[-1.  5.],66,24,18
21,single1,0.5,[0. 0.],DodgerBlue,,[1.13 0.47],[nan nan],7.5,26,6,[-3  0],13,right,[0. 5.],66,18,36
22,double,0.5,[0. 0.],DodgerBlue,Tomato,[-0.07  0.64],[-2.21  1.01],7.5,26,6,[-3  0],13,left,[0. 5.],54,42,18
23,single2,0.5,[1. 0.],,Tomato,[1.23 1.33],[nan nan],7.5,26,6,[-2  0],13,left,[1. 5.],54,18,24
24,single1,0.5,[0. 0.],Tomato,,[-1.69  1.42],[nan nan],7.5,26,6,[-3  0],13,left,[0. 5.],48,30,36
25,double,0.5,[0. 0.],Tomato,DodgerBlue,[-0.56  1.45],[1.37 1.42],7.5,26,6,[-3  0],13,right,[0. 5.],72,36,36
26,single1,0.5,[-1.  1.],Tomato,,[0.22 1.99],[nan nan],7.5,26,6,[-4  1],13,right,[-1.  6.],48,36,36
27,single2,0.5,[0. 1.],,DodgerBlue,[-0.76  2.23],[nan nan],7.5,26,6,[-3  1],13,right,[0. 6.],72,42,24
28,single2,0.5,[-1.  1.],,Tomato,[-1.5   2.82],[nan nan],7.5,26,6,[-4  1],13,right,[-1.  6.],48,30,36
29,double,0.5,[-1. -1.],Tomato,DodgerBlue,[-1.57 -0.2 ],[0.74 0.15],7.5,26,6,[-4 -1],13,right,[-1.  4.],60,24,24
