trial_num,probe_size,probe_loc,click_loc,frame_size,frame_dur,frame_len,frame_startloc,frame_flashloc,frame_nstops,frame_dir,fixation_loc,fixation_dur,gap1_dur,gap2_dur
1,0.5,[-1. -1.],[-1.45  0.05],5.0,86,20,[-11  -1],4.24,43,right,[-1.  4.],48,36,36
2,0.5,[-1.  1.],[-1.23  2.01],7.5,86,20,[-11   1],6.14,43,right,[-1.  6.],60,36,24
3,0.5,[ 0. -1.],[0.05 0.02],0.5,86,20,[-10  -1],7.14,43,right,[0. 4.],48,18,42
4,0.5,[ 1. -1.],[2.95 0.17],0.5,86,20,[-9 -1],-6.62,43,right,[1. 4.],66,30,24
5,0.5,[-1.  1.],[0.34 2.09],0.5,86,20,[-11   1],-2.43,43,right,[-1.  6.],66,36,24
6,0.5,[0. 0.],[-0.2   0.88],7.5,86,20,[-10   0],9.52,43,right,[0. 5.],48,36,30
7,0.5,[0. 0.],[2.28 1.37],0.5,86,20,[-10   0],-6.67,43,right,[0. 5.],60,30,18
8,0.5,[0. 0.],[1.08 1.15],5.0,86,20,[-10   0],-0.48,43,right,[0. 5.],48,36,36
9,0.5,[0. 1.],[0.81 2.18],7.5,86,20,[-10   1],3.81,43,right,[0. 6.],48,24,24
10,0.5,[-1.  0.],[-0.98  0.61],7.5,86,20,[-11   0],5.19,43,right,[-1.  5.],60,30,42
11,0.5,[-1. -1.],[1.6 0.2],0.5,86,20,[-11  -1],-7.19,43,right,[-1.  4.],66,24,36
12,0.5,[-1. -1.],[-0.83  0.1 ],5.0,86,20,[-11  -1],1.86,43,right,[-1.  4.],66,24,18
13,0.5,[-1.  1.],[-1.06  1.96],5.0,86,20,[-11   1],8.52,43,right,[-1.  6.],72,36,18
14,0.5,[1. 0.],[1.4  1.77],0.5,86,20,[-9  0],10.52,43,right,[1. 5.],48,18,30
15,0.5,[ 0. -1.],[2.41 0.52],5.0,86,20,[-10  -1],-4.29,43,right,[0. 4.],66,24,24
16,0.5,[0. 0.],[0.2  1.18],0.5,86,20,[-10   0],9.05,43,right,[0. 5.],60,36,36
17,0.5,[ 1. -1.],[ 0.93 -0.25],5.0,86,20,[-9 -1],7.67,43,right,[1. 4.],66,30,18
18,0.5,[ 0. -1.],[0.44 0.98],5.0,86,20,[-10  -1],0.0,43,right,[0. 4.],54,36,24
19,0.5,[ 0. -1.],[0.54 0.69],7.5,86,20,[-10  -1],0.95,43,right,[0. 4.],54,24,18
20,0.5,[-1.  0.],[0.15 1.3 ],0.5,86,20,[-11   0],-0.52,43,right,[-1.  5.],66,30,30
21,0.5,[0. 0.],[2.31 1.74],7.5,86,20,[-10   0],-5.24,43,right,[0. 5.],66,42,30
22,0.5,[ 1. -1.],[1.37 0.1 ],0.5,86,20,[-9 -1],2.9,43,right,[1. 4.],48,24,36
23,0.5,[-1. -1.],[1.96 0.44],7.5,86,20,[-11  -1],-2.43,43,right,[-1.  4.],66,36,36
24,0.5,[-1. -1.],[-1.35  0.61],0.5,86,20,[-11  -1],5.67,43,right,[-1.  4.],66,42,36
25,0.5,[ 0. -1.],[1.79 0.25],7.5,86,20,[-10  -1],-10.0,43,right,[0. 4.],72,24,30
26,0.5,[-1.  0.],[1.15 1.2 ],5.0,86,20,[-11   0],-5.29,43,right,[-1.  5.],60,18,24
27,0.5,[ 1. -1.],[2.18 0.88],7.5,86,20,[-9 -1],-4.24,43,right,[1. 4.],72,30,18
28,0.5,[1. 0.],[2.41 1.47],7.5,86,20,[-9  0],0.05,43,right,[1. 5.],66,42,36
29,0.5,[ 1. -1.],[3.34 1.35],5.0,86,20,[-9 -1],-6.62,43,right,[1. 4.],66,30,36
30,0.5,[ 0. -1.],[-0.39 -0.1 ],0.5,86,20,[-10  -1],8.1,43,right,[0. 4.],72,18,42
31,0.5,[-1. -1.],[0.83 0.93],7.5,86,20,[-11  -1],-2.43,43,right,[-1.  4.],66,18,30
32,0.5,[1. 1.],[0.64 1.62],7.5,86,20,[-9  1],5.29,43,right,[1. 6.],72,36,24
33,0.5,[0. 0.],[-0.34  1.35],0.5,86,20,[-10   0],7.62,43,right,[0. 5.],72,18,18
34,0.5,[1. 0.],[0.79 1.01],0.5,86,20,[-9  0],11.0,43,right,[1. 5.],60,24,24
35,0.5,[0. 0.],[0.27 1.47],5.0,86,20,[-10   0],5.71,43,right,[0. 5.],48,30,30
36,0.5,[1. 0.],[2.06 1.94],5.0,86,20,[-9  0],0.52,43,right,[1. 5.],54,24,18
37,0.5,[1. 0.],[0.74 1.37],7.5,86,20,[-9  0],5.29,43,right,[1. 5.],48,24,36
38,0.5,[-1. -1.],[-1.33  0.74],7.5,86,20,[-11  -1],0.9,43,right,[-1.  4.],72,18,24
39,0.5,[0. 1.],[-0.22  1.96],0.5,86,20,[-10   1],7.14,43,right,[0. 6.],66,24,30
40,0.5,[1. 1.],[1.84 2.41],0.5,86,20,[-9  1],0.52,43,right,[1. 6.],66,36,36
41,0.5,[ 0. -1.],[-0.52  0.05],0.5,86,20,[-10  -1],2.38,43,right,[0. 4.],48,24,36
42,0.5,[ 1. -1.],[2.87 0.96],0.5,86,20,[-9 -1],-7.1,43,right,[1. 4.],72,18,36
43,0.5,[-1. -1.],[-1.03  1.2 ],7.5,86,20,[-11  -1],-0.05,43,right,[-1.  4.],48,24,18
44,0.5,[ 0. -1.],[1.18 1.33],0.5,86,20,[-10  -1],-6.19,43,right,[0. 4.],72,30,24
45,0.5,[ 0. -1.],[2.14 0.74],5.0,86,20,[-10  -1],-7.62,43,right,[0. 4.],48,18,42
46,0.5,[1. 1.],[0.93 2.09],5.0,86,20,[-9  1],2.43,43,right,[1. 6.],60,24,42
47,0.5,[ 0. -1.],[0.91 0.56],0.5,86,20,[-10  -1],0.95,43,right,[0. 4.],54,42,36
48,0.5,[0. 0.],[-0.05  1.77],7.5,86,20,[-10   0],8.57,43,right,[0. 5.],72,30,42
49,0.5,[-1.  1.],[-0.96  3.02],7.5,86,20,[-11   1],8.52,43,right,[-1.  6.],72,36,42
50,0.5,[ 0. -1.],[1.47 1.23],0.5,86,20,[-10  -1],-1.9,43,right,[0. 4.],48,36,18
51,0.5,[0. 1.],[0.47 2.58],7.5,86,20,[-10   1],2.86,43,right,[0. 6.],48,30,18
52,0.5,[ 0. -1.],[3.02 1.01],0.5,86,20,[-10  -1],-6.19,43,right,[0. 4.],60,42,42
53,0.5,[ 0. -1.],[2.85 0.74],0.5,86,20,[-10  -1],-6.19,43,right,[0. 4.],48,36,24
54,0.5,[0. 1.],[1.94 2.72],5.0,86,20,[-10   1],-2.38,43,right,[0. 6.],48,42,18
55,0.5,[1. 1.],[1.89 3.04],5.0,86,20,[-9  1],-0.9,43,right,[1. 6.],48,30,30
56,0.5,[1. 0.],[1.13 1.72],7.5,86,20,[-9  0],2.9,43,right,[1. 5.],72,24,42
57,0.5,[-1.  1.],[0.71 3.19],7.5,86,20,[-11   1],-9.1,43,right,[-1.  6.],66,36,36
58,0.5,[ 1. -1.],[ 2.09 -0.29],0.5,86,20,[-9 -1],0.52,43,right,[1. 4.],48,24,18
59,0.5,[1. 1.],[1.45 3.04],7.5,86,20,[-9  1],4.81,43,right,[1. 6.],48,24,36
60,0.5,[ 1. -1.],[3.26 0.61],7.5,86,20,[-9 -1],-8.05,43,right,[1. 4.],48,30,42
61,0.5,[-1.  1.],[0.74 2.31],0.5,86,20,[-11   1],-4.33,43,right,[-1.  6.],54,36,18
62,0.5,[-1.  1.],[-0.88  2.99],5.0,86,20,[-11   1],5.67,43,right,[-1.  6.],60,18,42
63,0.5,[-1.  1.],[-1.18  1.64],0.5,86,20,[-11   1],1.38,43,right,[-1.  6.],60,42,42
64,0.5,[0. 1.],[0.25 1.77],5.0,86,20,[-10   1],7.62,43,right,[0. 6.],48,24,42
65,0.5,[ 0. -1.],[2.82 0.74],0.5,86,20,[-10  -1],-0.95,43,right,[0. 4.],54,36,30
66,0.5,[-1.  0.],[-1.45  1.25],7.5,86,20,[-11   0],6.14,43,right,[-1.  5.],54,30,42
67,0.5,[-1.  1.],[-1.13  2.04],0.5,86,20,[-11   1],2.81,43,right,[-1.  6.],48,24,24
68,0.5,[ 0. -1.],[-0.52  0.  ],7.5,86,20,[-10  -1],7.14,43,right,[0. 4.],54,42,18
69,0.5,[-1.  0.],[-1.18  1.2 ],5.0,86,20,[-11   0],8.52,43,right,[-1.  5.],72,36,18
70,0.5,[0. 1.],[-0.05  2.87],7.5,86,20,[-10   1],9.05,43,right,[0. 6.],54,24,42
71,0.5,[1. 1.],[2.16 2.77],0.5,86,20,[-9  1],-7.1,43,right,[1. 6.],66,42,30
72,0.5,[ 1. -1.],[ 0.61 -0.2 ],5.0,86,20,[-9 -1],10.05,43,right,[1. 4.],66,30,36
73,0.5,[-1.  0.],[-1.57  1.3 ],7.5,86,20,[-11   0],9.0,43,right,[-1.  5.],54,30,42
74,0.5,[-1.  0.],[0.44 1.42],7.5,86,20,[-11   0],-2.43,43,right,[-1.  5.],54,42,42
75,0.5,[1. 0.],[2.9  1.62],5.0,86,20,[-9  0],-5.67,43,right,[1. 5.],48,18,24
76,0.5,[0. 0.],[-0.1   1.37],7.5,86,20,[-10   0],9.05,43,right,[0. 5.],66,42,18
77,0.5,[0. 1.],[0.17 2.04],0.5,86,20,[-10   1],9.52,43,right,[0. 6.],60,30,36
78,0.5,[1. 0.],[1.13 1.35],0.5,86,20,[-9  0],4.33,43,right,[1. 5.],60,36,36
79,0.5,[ 0. -1.],[-0.05  0.44],0.5,86,20,[-10  -1],4.29,43,right,[0. 4.],66,30,24
80,0.5,[0. 0.],[0.02 1.06],0.5,86,20,[-10   0],9.05,43,right,[0. 5.],60,42,36
81,0.5,[ 1. -1.],[0.56 0.54],5.0,86,20,[-9 -1],4.33,43,right,[1. 4.],66,36,36
82,0.5,[0. 1.],[2.41 2.92],7.5,86,20,[-10   1],-6.67,43,right,[0. 6.],54,30,18
83,0.5,[-1. -1.],[0.74 0.54],0.5,86,20,[-11  -1],-8.14,43,right,[-1.  4.],48,36,30
84,0.5,[-1.  0.],[0.17 1.79],7.5,86,20,[-11   0],-0.52,43,right,[-1.  5.],60,18,36
85,0.5,[0. 1.],[2.04 3.36],7.5,86,20,[-10   1],-1.9,43,right,[0. 6.],48,24,30
86,0.5,[-1.  0.],[-1.1   1.08],7.5,86,20,[-11   0],6.14,43,right,[-1.  5.],60,36,30
87,0.5,[-1.  1.],[-1.28  2.77],5.0,86,20,[-11   1],7.1,43,right,[-1.  6.],72,42,42
88,0.5,[-1.  1.],[0.49 2.53],5.0,86,20,[-11   1],-7.67,43,right,[-1.  6.],48,36,36
89,0.5,[-1. -1.],[0.88 0.29],7.5,86,20,[-11  -1],-6.24,43,right,[-1.  4.],72,36,18
90,0.5,[-1.  0.],[-1.5   0.49],5.0,86,20,[-11   0],8.05,43,right,[-1.  5.],48,24,30
91,0.5,[ 1. -1.],[1.4 0.2],0.5,86,20,[-9 -1],9.1,43,right,[1. 4.],48,42,24
92,0.5,[0. 0.],[2.36 1.23],0.5,86,20,[-10   0],-2.86,43,right,[0. 5.],54,30,30
93,0.5,[1. 1.],[1.13 2.5 ],0.5,86,20,[-9  1],7.67,43,right,[1. 6.],66,42,42
94,0.5,[-1.  1.],[-0.96  1.94],0.5,86,20,[-11   1],7.57,43,right,[-1.  6.],54,30,30
95,0.5,[0. 0.],[-0.49  1.91],0.5,86,20,[-10   0],2.86,43,right,[0. 5.],54,24,42
96,0.5,[1. 0.],[2.41 1.84],0.5,86,20,[-9  0],-3.76,43,right,[1. 5.],48,24,36
97,0.5,[-1.  1.],[0.1  2.26],0.5,86,20,[-11   1],-4.33,43,right,[-1.  6.],54,18,36
98,0.5,[ 1. -1.],[1.4 1.2],0.5,86,20,[-9 -1],1.0,43,right,[1. 4.],66,30,36
99,0.5,[1. 1.],[0.86 2.04],0.5,86,20,[-9  1],10.52,43,right,[1. 6.],60,24,24
100,0.5,[-1.  0.],[-1.35  0.52],0.5,86,20,[-11   0],7.57,43,right,[-1.  5.],66,42,42
