trial_num,cnd,probe_size,probe_loc,probe1_color,probe2_color,click1_loc,click2_loc,frame_size,frame_dur,frame_len,frame_startloc,frame_nstops,frame_ncycles,frame_dir,fixation_loc,fixation_dur,gap1_dur,gap2_dur
1,double,0.5,[1. 0.],Tomato,DodgerBlue,[-1.08  1.08],[2.5  1.06],7.5,26,6,[-2  0],13,3,left,[1. 5.],54,42,18
2,double,0.5,[0. 1.],DodgerBlue,Tomato,[-2.33  1.01],[2.14 0.93],7.5,26,6,[-3  1],13,3,left,[0. 6.],72,42,42
3,double,0.5,[ 1. -1.],DodgerBlue,Tomato,[-1.06 -0.69],[ 2.65 -0.64],7.5,26,6,[-2 -1],13,1,left,[1. 4.],54,42,36
4,single1,0.5,[0. 1.],Tomato,,[-1.67  1.2 ],[nan nan],7.5,26,6,[-3  1],13,3,left,[0. 6.],48,30,36
5,single1,0.5,[0. 0.],DodgerBlue,,[-1.62  0.81],[nan nan],7.5,26,6,[-3  0],13,3,left,[0. 5.],72,24,30
6,single2,0.5,[-1. -1.],,Tomato,[ 0.61 -0.32],[nan nan],7.5,26,6,[-4 -1],13,1,left,[-1.  4.],72,36,18
7,single2,0.5,[-1.  0.],,Tomato,[1.01 0.98],[nan nan],7.5,26,6,[-4  0],13,3,left,[-1.  5.],48,18,24
8,single2,0.5,[ 1. -1.],,Tomato,[ 1.99 -0.15],[nan nan],7.5,26,6,[-2 -1],13,1,left,[1. 4.],48,18,30
9,double,0.5,[ 0. -1.],Tomato,DodgerBlue,[-1.33 -0.15],[ 2.16 -0.17],7.5,26,6,[-3 -1],13,2,left,[0. 4.],66,42,18
10,double,0.5,[-1. -1.],DodgerBlue,Tomato,[-2.77  0.29],[0.76 0.34],7.5,26,6,[-4 -1],13,1,right,[-1.  4.],48,18,18
11,double,0.5,[-1.  0.],DodgerBlue,Tomato,[0.29 1.03],[-2.9   1.01],7.5,26,6,[-4  0],13,3,left,[-1.  5.],48,24,30
12,double,0.5,[-1.  1.],DodgerBlue,Tomato,[-3.39  1.18],[0.71 1.01],7.5,26,6,[-4  1],13,2,right,[-1.  6.],72,30,18
13,double,0.5,[-1.  1.],DodgerBlue,Tomato,[-3.56  1.69],[0.49 1.69],7.5,26,6,[-4  1],13,3,right,[-1.  6.],72,36,24
