trial_num,probe_size,probe_loc,click_loc,frame_size,frame_dur,frame_len,frame_startloc,frame_flashloc,frame_nstops,frame_dir,fixation_loc,fixation_dur,gap1_dur,gap2_dur
1,0.5,[-1.  0.],[-0.81  0.88],7.5,86,20,[-11   0],9.0,43,right,[-1.  5.],60,30,42
2,0.5,[1. 0.],[3.14 1.01],7.5,86,20,[-9  0],-7.1,43,right,[1. 5.],54,36,42
3,0.5,[0. 0.],[0.   1.28],0.5,86,20,[-10   0],8.57,43,right,[0. 5.],66,24,30
4,0.5,[ 0. -1.],[2.77 0.81],5.0,86,20,[-10  -1],-7.62,43,right,[0. 4.],60,18,24
5,0.5,[0. 1.],[-0.17  2.65],5.0,86,20,[-10   1],4.29,43,right,[0. 6.],66,36,18
6,0.5,[0. 1.],[-0.12  2.21],7.5,86,20,[-10   1],7.14,43,right,[0. 6.],66,18,30
7,0.5,[0. 0.],[0.05 0.91],0.5,86,20,[-10   0],8.57,43,right,[0. 5.],72,42,24
8,0.5,[-1. -1.],[-0.02 -0.86],5.0,86,20,[-11  -1],-1.95,43,right,[-1.  4.],72,36,42
9,0.5,[-1. -1.],[ 0.71 -0.17],0.5,86,20,[-11  -1],-1.95,43,right,[-1.  4.],48,18,36
10,0.5,[ 0. -1.],[2.36 0.2 ],0.5,86,20,[-10  -1],-6.67,43,right,[0. 4.],60,36,30
11,0.5,[ 0. -1.],[ 2.55 -0.02],7.5,86,20,[-10  -1],-1.9,43,right,[0. 4.],48,30,42
12,0.5,[-1.  1.],[-1.28  1.91],7.5,86,20,[-11   1],6.62,43,right,[-1.  6.],72,36,18
13,0.5,[-1.  0.],[1.77 0.66],0.5,86,20,[-11   0],-5.76,43,right,[-1.  5.],60,42,30
14,0.5,[1. 1.],[2.8  1.47],5.0,86,20,[-9  1],-4.71,43,right,[1. 6.],54,18,36
15,0.5,[ 0. -1.],[-0.2 -0.1],0.5,86,20,[-10  -1],3.33,43,right,[0. 4.],54,36,18
16,0.5,[-1.  0.],[0.83 0.54],5.0,86,20,[-11   0],-2.9,43,right,[-1.  5.],66,36,18
17,0.5,[ 0. -1.],[2.95 0.  ],7.5,86,20,[-10  -1],-6.67,43,right,[0. 4.],66,30,18
18,0.5,[-1. -1.],[-0.66 -0.29],0.5,86,20,[-11  -1],1.38,43,right,[-1.  4.],60,42,42
19,0.5,[ 1. -1.],[ 3.39 -0.56],0.5,86,20,[-9 -1],-5.67,43,right,[1. 4.],72,18,42
20,0.5,[0. 1.],[2.26 2.23],7.5,86,20,[-10   1],-9.05,43,right,[0. 6.],60,24,18
21,0.5,[ 1. -1.],[1.45 0.91],7.5,86,20,[-9 -1],4.33,43,right,[1. 4.],54,36,24
22,0.5,[1. 0.],[1.01 1.06],0.5,86,20,[-9  0],4.33,43,right,[1. 5.],48,36,36
23,0.5,[0. 1.],[3.66 1.47],7.5,86,20,[-10   1],-3.33,43,right,[0. 6.],54,42,42
24,0.5,[1. 0.],[0.81 0.86],5.0,86,20,[-9  0],5.76,43,right,[1. 5.],72,30,36
25,0.5,[-1.  0.],[-0.56  0.54],0.5,86,20,[-11   0],1.38,43,right,[-1.  5.],48,42,18
26,0.5,[1. 0.],[1.25 0.81],0.5,86,20,[-9  0],4.33,43,right,[1. 5.],48,36,24
27,0.5,[-1.  1.],[-1.33  2.43],0.5,86,20,[-11   1],4.24,43,right,[-1.  6.],54,36,24
28,0.5,[1. 1.],[2.82 1.4 ],7.5,86,20,[-9  1],0.05,43,right,[1. 6.],72,30,30
29,0.5,[0. 1.],[0.   1.99],5.0,86,20,[-10   1],5.71,43,right,[0. 6.],54,36,24
30,0.5,[1. 1.],[2.63 2.33],7.5,86,20,[-9  1],1.0,43,right,[1. 6.],60,42,42
31,0.5,[1. 1.],[3.41 2.38],7.5,86,20,[-9  1],-9.0,43,right,[1. 6.],66,24,36
32,0.5,[1. 1.],[1.1  2.58],5.0,86,20,[-9  1],4.81,43,right,[1. 6.],60,24,42
33,0.5,[ 0. -1.],[2.87 1.33],5.0,86,20,[-10  -1],-3.81,43,right,[0. 4.],72,36,24
34,0.5,[0. 0.],[0.22 0.88],0.5,86,20,[-10   0],4.76,43,right,[0. 5.],48,30,24
35,0.5,[1. 1.],[3.12 1.84],0.5,86,20,[-9  1],1.95,43,right,[1. 6.],60,42,30
36,0.5,[-1. -1.],[1.55 1.23],7.5,86,20,[-11  -1],-1.95,43,right,[-1.  4.],66,24,42
37,0.5,[ 1. -1.],[1.47 0.42],5.0,86,20,[-9 -1],2.9,43,right,[1. 4.],66,24,24
38,0.5,[-1.  0.],[-1.18  0.54],0.5,86,20,[-11   0],4.71,43,right,[-1.  5.],48,42,36
39,0.5,[-1.  1.],[1.55 1.82],0.5,86,20,[-11   1],-11.0,43,right,[-1.  6.],66,42,18
40,0.5,[1. 0.],[1.42 0.88],7.5,86,20,[-9  0],11.0,43,right,[1. 5.],66,18,30
41,0.5,[ 0. -1.],[0.25 0.29],5.0,86,20,[-10  -1],1.43,43,right,[0. 4.],48,24,24
42,0.5,[0. 0.],[1.18 0.79],7.5,86,20,[-10   0],0.0,43,right,[0. 5.],48,30,36
43,0.5,[-1. -1.],[-1.03  0.1 ],0.5,86,20,[-11  -1],4.71,43,right,[-1.  4.],60,42,30
44,0.5,[ 0. -1.],[2.23 1.18],7.5,86,20,[-10  -1],-2.38,43,right,[0. 4.],60,24,24
45,0.5,[-1. -1.],[ 1.42 -0.02],0.5,86,20,[-11  -1],-7.19,43,right,[-1.  4.],48,30,24
46,0.5,[ 0. -1.],[2.18 0.07],5.0,86,20,[-10  -1],-7.14,43,right,[0. 4.],54,36,36
47,0.5,[0. 1.],[0.   2.06],0.5,86,20,[-10   1],1.9,43,right,[0. 6.],60,24,42
48,0.5,[1. 1.],[1.03 1.84],0.5,86,20,[-9  1],10.05,43,right,[1. 6.],54,36,36
49,0.5,[0. 0.],[2.26 1.5 ],7.5,86,20,[-10   0],-2.38,43,right,[0. 5.],72,18,18
50,0.5,[ 1. -1.],[ 4.2  -0.05],5.0,86,20,[-9 -1],-2.33,43,right,[1. 4.],48,18,18
51,0.5,[-1.  1.],[-0.93  1.77],5.0,86,20,[-11   1],8.05,43,right,[-1.  6.],54,18,42
52,0.5,[-1.  1.],[-1.15  1.67],5.0,86,20,[-11   1],4.71,43,right,[-1.  6.],48,18,30
53,0.5,[-1. -1.],[0.88 1.4 ],7.5,86,20,[-11  -1],-1.95,43,right,[-1.  4.],54,36,18
54,0.5,[0. 1.],[1.82 2.53],7.5,86,20,[-10   1],0.95,43,right,[0. 6.],48,24,24
55,0.5,[-1. -1.],[-1.28  0.1 ],0.5,86,20,[-11  -1],8.52,43,right,[-1.  4.],66,30,30
56,0.5,[-1. -1.],[-0.91 -0.47],5.0,86,20,[-11  -1],4.24,43,right,[-1.  4.],48,36,42
57,0.5,[ 1. -1.],[2.97 1.33],7.5,86,20,[-9 -1],-6.62,43,right,[1. 4.],48,30,24
58,0.5,[ 1. -1.],[2.72 0.42],5.0,86,20,[-9 -1],-1.86,43,right,[1. 4.],66,24,18
59,0.5,[1. 0.],[0.59 1.79],5.0,86,20,[-9  0],11.0,43,right,[1. 5.],72,42,30
60,0.5,[ 1. -1.],[ 2.04 -0.37],5.0,86,20,[-9 -1],1.95,43,right,[1. 4.],60,30,30
61,0.5,[-1. -1.],[1.1 0. ],7.5,86,20,[-11  -1],-1.95,43,right,[-1.  4.],54,18,18
62,0.5,[ 0. -1.],[2.09 0.76],5.0,86,20,[-10  -1],-1.9,43,right,[0. 4.],72,42,30
63,0.5,[ 0. -1.],[0.79 0.96],0.5,86,20,[-10  -1],0.95,43,right,[0. 4.],60,42,30
64,0.5,[1. 1.],[3.12 1.96],5.0,86,20,[-9  1],-4.71,43,right,[1. 6.],66,24,36
65,0.5,[0. 0.],[0.56 1.77],7.5,86,20,[-10   0],7.62,43,right,[0. 5.],60,36,24
66,0.5,[0. 0.],[2.26 1.82],7.5,86,20,[-10   0],-3.81,43,right,[0. 5.],66,36,24
67,0.5,[-1. -1.],[2.36 0.27],7.5,86,20,[-11  -1],-6.71,43,right,[-1.  4.],72,24,18
68,0.5,[-1. -1.],[-0.93  0.25],5.0,86,20,[-11  -1],3.76,43,right,[-1.  4.],72,18,42
69,0.5,[1. 0.],[3.07 0.71],0.5,86,20,[-9  0],-2.33,43,right,[1. 5.],60,30,24
70,0.5,[1. 0.],[1.91 1.35],0.5,86,20,[-9  0],1.0,43,right,[1. 5.],72,36,18
71,0.5,[1. 1.],[2.85 1.62],0.5,86,20,[-9  1],-8.52,43,right,[1. 6.],48,36,24
72,0.5,[1. 1.],[2.16 2.77],7.5,86,20,[-9  1],1.48,43,right,[1. 6.],72,36,42
73,0.5,[-1. -1.],[1.67 0.37],7.5,86,20,[-11  -1],-5.29,43,right,[-1.  4.],54,42,30
74,0.5,[-1.  1.],[-1.03  2.38],0.5,86,20,[-11   1],5.19,43,right,[-1.  6.],72,18,18
75,0.5,[-1.  1.],[0.15 2.16],5.0,86,20,[-11   1],-0.05,43,right,[-1.  6.],48,36,42
76,0.5,[-1. -1.],[1.01 0.96],5.0,86,20,[-11  -1],-5.76,43,right,[-1.  4.],60,30,18
77,0.5,[ 1. -1.],[4.07 0.54],7.5,86,20,[-9 -1],-8.05,43,right,[1. 4.],54,42,36
78,0.5,[-1. -1.],[-1.2  -0.07],0.5,86,20,[-11  -1],2.81,43,right,[-1.  4.],66,24,18
79,0.5,[-1. -1.],[-0.83 -0.05],0.5,86,20,[-11  -1],5.19,43,right,[-1.  4.],60,30,36
80,0.5,[1. 1.],[3.12 2.28],5.0,86,20,[-9  1],-7.1,43,right,[1. 6.],66,18,24
81,0.5,[-1.  0.],[1.42 2.65],5.0,86,20,[-11   0],-11.0,43,right,[-1.  5.],48,24,42
82,0.5,[0. 1.],[0.22 2.16],0.5,86,20,[-10   1],-1.43,43,right,[0. 6.],66,42,18
83,0.5,[ 0. -1.],[0.61 0.98],7.5,86,20,[-10  -1],4.29,43,right,[0. 4.],66,42,30
84,0.5,[-1.  1.],[-1.13  1.62],5.0,86,20,[-11   1],6.62,43,right,[-1.  6.],66,30,24
85,0.5,[1. 0.],[0.93 2.21],7.5,86,20,[-9  0],3.86,43,right,[1. 5.],72,30,24
86,0.5,[-1. -1.],[-0.88  0.29],7.5,86,20,[-11  -1],2.81,43,right,[-1.  4.],60,24,42
87,0.5,[-1.  1.],[1.57 2.14],7.5,86,20,[-11   1],-4.81,43,right,[-1.  6.],72,30,24
88,0.5,[ 1. -1.],[1.08 0.37],7.5,86,20,[-9 -1],1.95,43,right,[1. 4.],48,24,42
89,0.5,[0. 1.],[2.18 1.94],0.5,86,20,[-10   1],-6.19,43,right,[0. 6.],54,24,18
90,0.5,[ 1. -1.],[2.26 0.64],7.5,86,20,[-9 -1],-1.38,43,right,[1. 4.],60,36,42
91,0.5,[0. 0.],[1.91 1.6 ],7.5,86,20,[-10   0],-7.62,43,right,[0. 5.],54,24,30
92,0.5,[0. 0.],[-0.29  1.45],7.5,86,20,[-10   0],2.86,43,right,[0. 5.],66,18,36
93,0.5,[0. 0.],[2.38 1.1 ],7.5,86,20,[-10   0],-8.57,43,right,[0. 5.],48,42,42
94,0.5,[ 0. -1.],[-0.54  0.59],7.5,86,20,[-10  -1],1.43,43,right,[0. 4.],66,24,42
95,0.5,[0. 0.],[2.53 1.42],0.5,86,20,[-10   0],-8.57,43,right,[0. 5.],60,36,30
96,0.5,[0. 1.],[1.74 2.16],7.5,86,20,[-10   1],-6.67,43,right,[0. 6.],48,36,36
97,0.5,[-1.  1.],[-1.42  1.57],0.5,86,20,[-11   1],6.62,43,right,[-1.  6.],72,18,24
98,0.5,[-1.  0.],[-1.2   1.08],0.5,86,20,[-11   0],7.57,43,right,[-1.  5.],72,42,42
99,0.5,[-1. -1.],[-1.01  0.49],0.5,86,20,[-11  -1],3.76,43,right,[-1.  4.],66,30,42
100,0.5,[-1.  1.],[1.18 2.6 ],7.5,86,20,[-11   1],-7.19,43,right,[-1.  6.],66,18,36
